Numero_Processo;Numero_Registro_Oferta;Tipo_Oferta;Tipo_Ativo;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Nome_Vendedor;CNPJ_Ofertante;Nome_Ofertante;Rito_Oferta;Modalidade_Oferta;Modalidade_Registro;Modalidade_Dispensa_Registro;Data_Abertura_Processo;Data_Protocolo;Data_Dispensa_Oferta;Data_Registro_Oferta;Data_Inicio_Oferta;Data_Encerramento_Oferta;Emissao;Classe_Ativo;Serie;Especie_Ativo;Forma_Ativo;Data_Emissao;Data_Vencimento;Quantidade_Sem_Lote_Suplementar;Quantidade_No_Lote_Suplementar;Quantidade_Total;Preco_Unitario;Valor_Total;Oferta_Inicial;Oferta_Incentivo_Fiscal;Oferta_Regime_Fiduciario;Tipo_Societario_Emissor;Ultimo_Comunicado;Data_Comunicado;Nr_Pessoa_Fisica;Qtd_Pessoa_Fisica;Nr_Clube_Investimento;Qtd_Clube_Investimento;Nr_Fundos_Investimento;Qtd_Fundos_Investimento;Nr_Entidade_Previdencia_Privada;Qtd_Entidade_Previdencia_Privada;Nr_Companhia_Seguradora;Qtd_Companhia_Seguradora;Nr_Investidor_Estrangeiro;Qtd_Investidor_Estrangeiro;Nr_Instit_Intermed_Partic_Consorcio_Distrib;Qtd_Instit_Intermed_Partic_Consorcio_Distrib;Nr_Instit_Financ_Emissora_Partic_Consorcio;Qtd_Instit_Financ_Emissora_Partic_Consorcio;Nr_Demais_Instit_Financ;Qtd_Demais_Instit_Financ;Nr_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtd_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Nr_Demais_Pessoa_Juridica;Qtd_Demais_Pessoa_Juridica;Nr_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdt_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Nr_Outros;Qtd_Outros;Qtd_Cli_Pessoa_Fisica;Qtd_Cli_Pessoa_Juridica;Qtd_Cli_Pessoa_Juridica_Ligada_Adm;QtD_Cli_Demais_Pessoa_Juridica;Qtd_Cli_Investidor_Estrangeiro;Qtd_Cli_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
RJ-1998-3811;CVM/SRE/RFI/1998/023;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FUNDO DE INVESTIMENTO IMOBILIARIO AGUA BRANCA;;;;;FDO INVEST IMOB PROJETO AGUA BRANCA;ICVM 400 (com registro);Registrada;Concedido;;1998-08-28;;;1998-10-08;;;;;1;;;;;750000.0;0.0;750000.0;100.0;75000000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-4015;CVM/SRE/RFI/1998/025;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO DE INVESTIMENTO IMOBILIARIO TROPICAL;;;;;FUNDO INVEST. IMOB. TROPICAL;ICVM 400 (com registro);Registrada;Concedido;;1998-09-16;;;1998-10-15;;;;;1;;;;;19041000.0;0.0;19041000.0;1.0;19041000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-4170;CVM/SRE/RFI/1998/028;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FII CALIFORNIA DREAMING;33.886.862/0001-12;MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;FUNDO INVEST. IMOB. CALIFORNIA DREAMING;ICVM 400 (com registro);Registrada;Concedido;;1998-10-01;;;1998-12-29;;1999-06-29;;;1;;NOMINATIVA;;;21000.0;0.0;21000.0;100.0;2100000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-4416;CVM/SRE/RFI/1998/027;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FII RIVER SHOPPING;50.585.090/0001-06;BCV - BANCO DE CRÉDITO E VAREJO S.A.;;;FDO INVEST IMOBILIARIO RIVER SHOPPING;ICVM 400 (com registro);Registrada;Concedido;;1998-10-22;;;1998-12-29;;1998-12-29;;;1;;;;;965039.0;0.0;965039.0;0.98;945738.22;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-79;CVM/SRE/RFI/1998/001;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;LAGRA - FDO.INVEST.IMOB.;;;;;LAGRA FUNDO INVESTIMENTO IMOBI;ICVM 400 (com registro);Registrada;Concedido;;1998-01-12;;;1998-01-15;;1998-07-15;;;;;;;;2557.0;0.0;2557.0;1173.61;3000920.77;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-814;CVM/SRE/RFI/1998/009;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.TAL DE INVEST.IMOB.;;;;;FUNDO TAL DE INVESTIMENTO IMOB;ICVM 400 (com registro);Registrada;Concedido;;1998-02-19;;;1998-04-07;;1998-10-07;;;;;;;;2604689.0;0.0;2604689.0;0.99;2600000.56;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-834;CVM/SRE/RFI/1998/014;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.INVEST.IMOB.TIME CENTER;;;;;FII TIME CENTER;ICVM 400 (com registro);Registrada;Concedido;;1998-02-27;;;1998-05-12;;1998-11-17;;;;;;;;25000.0;0.0;25000.0;100.0;2500000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-900;CVM/SRE/RFI/1998/010;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;FDO.INVEST.IMOB.CENTRO TEXTIL INTERNACIONAL;;;;;FUNDO INVEST. IMOB. CENTRO TEX;ICVM 400 (com registro);Registrada;Concedido;;1998-03-04;;;1998-04-16;;1998-10-16;;;;;;;;2441101.0;0.0;2441101.0;1.43;3500001.79;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-916;CVM/SRE/RFI/1998/011;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;LOGINVEST FDO.DE INVEST.IMOB.INDUSTRIAL;;;;;LOGINVEST FUNDO INVEST. IMOB.;ICVM 400 (com registro);Registrada;Concedido;;1998-03-04;;;1998-04-17;;1998-10-17;;;;;;;;17100.0;0.0;17100.0;1000.0;17100000.0;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ-1998-994;CVM/SRE/RFI/1998/012;Primária;QUOTAS DE FUNDO IMOBILIÁRIO;;PRIME INCOME FDO.INVEST.IMOB.;;;;;PRIME INCOME FUNDO DE INVEST.;ICVM 400 (com registro);Registrada;Concedido;;1998-03-12;;;1998-04-30;;1998-10-30;;;;;;;;7202.0;0.0;7202.0;2092.11;15067376.22;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
